,carprivt_r,cardealr_r,carbuyf_r,carbuya_r,carbuyg_r,carbuyd_r,carbuyb_r,carbuyc_r,carbuye_r,carbuy1_r,degree_r,region_r,race_r,childs_r,sex_r,marital_r,satcar_r,newused_r,age_c
338,1.0,1.0,0.5161290165454286,0.7142857142857143,0.9999999743635942,0.9999999743635942,0.9999999743635942,0.9999999743635942,0.8064515963636092,4.124999776482591,0.0,0.0,0.0,1.0,0.0,3.0,2.142857142857143,0.42857142857142855,4.00136054421769
339,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,17.00136054421769
340,1.0,0.0,0.6153846761558591,0.0,0.30769233807792956,0.0,0.6153846761558591,1.000000084645661,0.6923077465677313,3.891891991562302,1.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,19.00136054421769
341,1.0,0.0,0.3750000223517431,0.0,0.3076923076923077,0.3,1.0,1.0,0.3888888888888889,4.615384615384615,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,14.00136054421769
342,0.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,2.3333333333333335,0.6666666666666666,-7.99863945578231
343,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.28,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,17.00136054421769
344,0.0,1.0,1.0,0.75,1.0,0.6666666666666666,0.3333333333333333,1.0,0.625,3.142857142857143,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.3333333333333333,-10.99863945578231
345,1.0,0.0,0.9999999576144748,0.0,0.0,0.0,0.6444444020589193,0.9999999576144748,0.9999999576144748,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,7.00136054421769
346,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,27.00136054421769
347,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.262734312391158,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,-4.99863945578231
348,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-3.9986394557823104
349,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.096916035827232,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,-10.99863945578231
350,0.0,1.0,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.7142857142857143,1.0,0.5714285714285714,4.923076923076923,0.0,0.0,0.0,1.0,0.0,1.0,1.5714285714285714,1.0,18.00136054421769
351,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-11.99863945578231
352,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,-4.99863945578231
353,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,27.00136054421769
354,1.0,1.0,0.42857142857142855,0.7142857142857143,0.42857142857142855,1.0,0.5714285714285714,1.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.7142857142857143,0.7142857142857143,-12.99863945578231
355,1.0,1.0,1.0,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.0,0.5714285714285714,1.0,1.7142857142857142,0.0,0.0,0.0,1.0,1.0,2.0,2.4285714285714284,0.42857142857142855,24.00136054421769
356,1.0,1.0,1.0,0.4186046511627907,1.0,0.75,0.5813953488372093,1.0,0.25,3.8181818181818183,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.20930232558139536,-11.99863945578231
357,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,-18.99863945578231
358,0.0,1.0,0.3333333333333333,0.7272727272727273,0.9999999694335162,0.6153845942232036,0.9999999694335162,0.7272727272727273,0.7692307504206254,3.6923073537251168,0.0,0.0,1.0,1.0,1.0,3.0,3.0,0.6666666666666666,-2.9986394557823104
359,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,12.00136054421769
360,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,-14.99863945578231
361,0.0,1.0,0.75,0.25,0.75,0.5,0.75,0.75,1.0,5.714285714285714,0.0,0.0,0.0,1.0,0.0,1.0,1.5,0.5,4.00136054421769
362,0.0,0.0,0.37500000931322564,0.6875000046566128,0.0,0.36363635706835906,0.36363635706835906,0.6875000046566128,0.0,5.290322774158686,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,-9.99863945578231
